23847 intern Strings occupying 2787752 bytes.
class_loader	classes	bytes	parent_loader	alive?	type
0x00002b445de60090	0	0	0x00002b445be4b460	dead	org/kohsuke/stapler/jelly/groovy/GroovyClassLoaderTearOff$2@0x00002b444f8ac078
0x00002b445bee7140	88	751432	0x00002b445bee71c8	dead	java/net/URLClassLoader@0x00002b444b9feea0
0x00002b445c95dc98	1	1920	0x00002b445bfc5c50	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445dd852c8	1	3080	0x00002b445be1cc20	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445ddbaa80	1	3080	0x00002b445beba250	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c841a68	24	172416	0x00002b445bfcc7e8	dead	com/google/inject/internal/BytecodeGen$BridgeClassLoader@0x00002b444d840f18
0x00002b445c957760	1	3080	0x00002b445bfeb978	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445bf188d8	0	0	0x00002b445bf18948	dead	hudson/util/MaskingClassLoader@0x00002b444cacb350
0x00002b445f2a5bf8	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c95d410	1	3080	0x00002b445bf1b9d8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c8d4d58	23	172808	0x00002b445bfad0a0	dead	com/google/inject/internal/BytecodeGen$BridgeClassLoader@0x00002b444d840f18
0x00002b445f2aad08	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445f676e20	1	3080	  null  	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445ddbaae8	1	3064	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445f29d458	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c9590a8	1	3080	0x00002b445bf776b0	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
