INFO   | jvm 1    | 2014/01/30 14:41:02 | 30.01.2014 14:41:02 hudson.model.Run execute
INFO   | jvm 1    | 2014/01/30 14:41:02 | INFO: Flink - Datenbank aktualisieren #4162 main build action completed: SUCCESS
INFO   | jvm 1    | 2014/01/30 14:41:03 | 30.01.2014 14:41:03 hudson.model.Run execute
INFO   | jvm 1    | 2014/01/30 14:41:03 | INFO: Flink_-_Kompilieren_und_JUnitTests_ausfuehren #619 main build action completed: SUCCESS
INFO   | jvm 1    | 2014/01/30 14:41:42 | 30.01.2014 14:41:42 hudson.model.Run execute
INFO   | jvm 1    | 2014/01/30 14:41:42 | INFO: Flink - Deployment auf Testumgebung #1483 main build action completed: SUCCESS
INFO   | jvm 1    | 2014/01/30 14:46:18 | java.lang.OutOfMemoryError: PermGen space
STATUS | wrapper  | 2014/01/30 14:46:18 | The JVM has run out of memory.  Restarting JVM.
INFO   | jvm 1    | 2014/01/30 14:46:18 | Dumping heap to /tmp/jenkinsDump.hprof ...
INFO   | jvm 1    | 2014/01/30 14:46:21 | Heap dump file created [57131712 bytes in 3.416 secs]
INFO   | jvm 1    | 2014/01/30 14:46:23 | 30.01.2014 14:46:23 org.eclipse.jetty.util.log.JavaUtilLog warn
INFO   | jvm 1    | 2014/01/30 14:46:23 | WARNUNG: Error while serving http://10.7.6.93:8280/view/Flink%20-%20Only/job/Flink_-_Kompilieren_und_JUnitTests_ausfuehren/test/trend
INFO   | jvm 1    | 2014/01/30 14:46:23 | java.lang.reflect.InvocationTargetException
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at java.lang.reflect.Method.invoke(Method.java:597)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.kohsuke.stapler.Function$InstanceFunction.invoke(Function.java:298)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.kohsuke.stapler.Function.bindAndInvoke(Function.java:161)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.kohsuke.stapler.Function.bindAndInvokeAndServeResponse(Function.java:96)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.kohsuke.stapler.MetaClass$1.doDispatch(MetaClass.java:120)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.kohsuke.stapler.NameBasedDispatcher.dispatch(NameBasedDispatcher.java:53)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.kohsuke.stapler.Stapler.tryInvoke(Stapler.java:728)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.kohsuke.stapler.Stapler.invoke(Stapler.java:858)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.kohsuke.stapler.MetaClass$12.dispatch(MetaClass.java:390)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.kohsuke.stapler.Stapler.tryInvoke(Stapler.java:728)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.kohsuke.stapler.Stapler.invoke(Stapler.java:858)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.kohsuke.stapler.MetaClass$6.doDispatch(MetaClass.java:248)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.kohsuke.stapler.NameBasedDispatcher.dispatch(NameBasedDispatcher.java:53)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.kohsuke.stapler.Stapler.tryInvoke(Stapler.java:728)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.kohsuke.stapler.Stapler.invoke(Stapler.java:858)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.kohsuke.stapler.MetaClass$6.doDispatch(MetaClass.java:248)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.kohsuke.stapler.NameBasedDispatcher.dispatch(NameBasedDispatcher.java:53)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.kohsuke.stapler.Stapler.tryInvoke(Stapler.java:728)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.kohsuke.stapler.Stapler.invoke(Stapler.java:858)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.kohsuke.stapler.Stapler.invoke(Stapler.java:631)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.kohsuke.stapler.Stapler.service(Stapler.java:225)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at javax.servlet.http.HttpServlet.service(HttpServlet.java:848)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.eclipse.jetty.servlet.ServletHolder.handle(ServletHolder.java:686)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1494)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at hudson.util.PluginServletFilter$1.doFilter(PluginServletFilter.java:96)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at hudson.util.PluginServletFilter.doFilter(PluginServletFilter.java:88)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1482)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at hudson.security.csrf.CrumbFilter.doFilter(CrumbFilter.java:48)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1482)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at hudson.security.ChainedServletFilter$1.doFilter(ChainedServletFilter.java:84)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at hudson.security.ChainedServletFilter.doFilter(ChainedServletFilter.java:76)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at hudson.security.HudsonFilter.doFilter(HudsonFilter.java:164)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1482)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.kohsuke.stapler.compression.CompressionFilter.doFilter(CompressionFilter.java:46)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1482)
